realtime_start,realtime_end,date,value
2026-09-18,2026-09-18,1962-12-01,0.0023
2026-09-18,2026-09-18,1963-01-01,0.002
2026-09-18,2026-09-18,1963-02-01,0.0023
2026-09-18,2026-09-18,1963-03-01,0.0025
2026-09-18,2026-09-18,1963-04-01,0.0025
2026-09-18,2026-09-18,1963-05-01,0.0024
2026-09-18,2026-09-18,1963-06-01,0.0026
2026-09-18,2026-09-18,1963-07-01,0.0028
2026-09-18,2026-09-18,1963-08-01,0.0028
2026-09-18,2026-09-18,1963-09-01,0.0031
2026-09-18,2026-09-18,1963-10-01,0.0029
2026-09-18,2026-09-18,1963-11-01,0.003
2026-09-18,2026-09-18,1963-12-01,0.003
2026-09-18,2026-09-18,1964-01-01,0.0029
2026-09-18,2026-09-18,1964-02-01,0.0031
2026-09-18,2026-09-18,1964-03-01,0.0031
2026-09-18,2026-09-18,1964-04-01,0.003
2026-09-18,2026-09-18,1964-05-01,0.0031
2026-09-18,2026-09-18,1964-06-01,0.0031
2026-09-18,2026-09-18,1964-07-01,0.0028
2026-09-18,2026-09-18,1964-08-01,0.0033
2026-09-18,2026-09-18,1964-09-01,0.0033
2026-09-18,2026-09-18,1964-10-01,0.0036
2026-09-18,2026-09-18,1964-11-01,0.0039
2026-09-18,2026-09-18,1964-12-01,0.0039
2026-09-18,2026-09-18,1965-01-01,0.0042
2026-09-18,2026-09-18,1965-02-01,0.0042
2026-09-18,2026-09-18,1965-03-01,0.0041
2026-09-18,2026-09-18,1965-04-01,0.0045
2026-09-18,2026-09-18,1965-05-01,0.0048
2026-09-18,2026-09-18,1965-06-01,0.0049
2026-09-18,2026-09-18,1965-07-01,0.0053
2026-09-18,2026-09-18,1965-08-01,0.0055
2026-09-18,2026-09-18,1965-09-01,0.0058
2026-09-18,2026-09-18,1965-10-01,0.0061
2026-09-18,2026-09-18,1965-11-01,0.006
2026-09-18,2026-09-18,1965-12-01,0.0061
2026-09-18,2026-09-18,1966-01-01,0.0065
2026-09-18,2026-09-18,1966-02-01,0.0064
2026-09-18,2026-09-18,1966-03-01,0.0068
2026-09-18,2026-09-18,1966-04-01,0.0072
2026-09-18,2026-09-18,1966-05-01,0.0072
2026-09-18,2026-09-18,1966-06-01,0.0073
2026-09-18,2026-09-18,1966-07-01,0.0073
2026-09-18,2026-09-18,1966-08-01,0.007
2026-09-18,2026-09-18,1966-09-01,0.0077
2026-09-18,2026-09-18,1966-10-01,0.008
2026-09-18,2026-09-18,1966-11-01,0.0073
2026-09-18,2026-09-18,1966-12-01,0.0079
2026-09-18,2026-09-18,1967-01-01,0.0076
2026-09-18,2026-09-18,1967-02-01,0.0073
2026-09-18,2026-09-18,1967-03-01,0.0071
2026-09-18,2026-09-18,1967-04-01,0.0068
2026-09-18,2026-09-18,1967-05-01,0.0066
2026-09-18,2026-09-18,1967-06-01,0.0065
2026-09-18,2026-09-18,1967-07-01,0.0067
2026-09-18,2026-09-18,1967-08-01,0.0068
2026-09-18,2026-09-18,1967-09-01,0.0068
2026-09-18,2026-09-18,1967-10-01,0.0069
2026-09-18,2026-09-18,1967-11-01,0.0071
2026-09-18,2026-09-18,1967-12-01,0.0072
2026-09-18,2026-09-18,1968-01-01,0.0072
2026-09-18,2026-09-18,1968-02-01,0.0073
2026-09-18,2026-09-18,1968-03-01,0.0072
2026-09-18,2026-09-18,1968-04-01,0.007
2026-09-18,2026-09-18,1968-05-01,0.0072
2026-09-18,2026-09-18,1968-06-01,0.0072
2026-09-18,2026-09-18,1968-07-01,0.0073
2026-09-18,2026-09-18,1968-08-01,0.0074
2026-09-18,2026-09-18,1968-09-01,0.0076
2026-09-18,2026-09-18,1968-10-01,0.0076
2026-09-18,2026-09-18,1968-11-01,0.0078
2026-09-18,2026-09-18,1968-12-01,0.0079
2026-09-18,2026-09-18,1969-01-01,0.008
2026-09-18,2026-09-18,1969-02-01,0.0082
2026-09-18,2026-09-18,1969-03-01,0.0085
2026-09-18,2026-09-18,1969-04-01,0.0087
2026-09-18,2026-09-18,1969-05-01,0.009
2026-09-18,2026-09-18,1969-06-01,0.0092
2026-09-18,2026-09-18,1969-07-01,0.0094
2026-09-18,2026-09-18,1969-08-01,0.0096
2026-09-18,2026-09-18,1969-09-01,0.0098
2026-09-18,2026-09-18,1969-10-01,0.0101
2026-09-18,2026-09-18,1969-11-01,0.01
2026-09-18,2026-09-18,1969-12-01,0.0101
2026-09-18,2026-09-18,1970-01-01,0.01
2026-09-18,2026-09-18,1970-02-01,0.01
2026-09-18,2026-09-18,1970-03-01,0.0099
2026-09-18,2026-09-18,1970-04-01,0.0098
2026-09-18,2026-09-18,1970-05-01,0.0096
2026-09-18,2026-09-18,1970-06-01,0.0094
2026-09-18,2026-09-18,1970-07-01,0.0095
2026-09-18,2026-09-18,1970-08-01,0.0092
2026-09-18,2026-09-18,1970-09-01,0.0091
2026-09-18,2026-09-18,1970-10-01,0.0089
2026-09-18,2026-09-18,1970-11-01,0.0086
2026-09-18,2026-09-18,1970-12-01,0.0086
2026-09-18,2026-09-18,1971-01-01,0.0088
2026-09-18,2026-09-18,1971-02-01,0.0089
2026-09-18,2026-09-18,1971-03-01,0.0093
2026-09-18,2026-09-18,1971-04-01,0.0096
2026-09-18,2026-09-18,1971-05-01,0.0099
2026-09-18,2026-09-18,1971-06-01,0.0101
2026-09-18,2026-09-18,1971-07-01,0.0104
2026-09-18,2026-09-18,1971-08-01,0.0106
2026-09-18,2026-09-18,1971-09-01,0.0108
2026-09-18,2026-09-18,1971-10-01,0.011
2026-09-18,2026-09-18,1971-11-01,0.0111
2026-09-18,2026-09-18,1971-12-01,0.0114
2026-09-18,2026-09-18,1972-01-01,0.0121
2026-09-18,2026-09-18,1972-02-01,0.0121
2026-09-18,2026-09-18,1972-03-01,0.0122
2026-09-18,2026-09-18,1972-04-01,0.0122
2026-09-18,2026-09-18,1972-05-01,0.0123
