ds,yhat,yhat_lower,yhat_upper
1954-01-01,-0.15606077948744987,-5.419482735903513,5.480005444470959
1954-02-01,-0.022691904358930315,-5.787308386390103,5.363879663509173
1954-03-01,-0.020692229236566634,-5.512234838254854,5.348462744048721
1954-04-01,0.030574282148145532,-5.6029236882194295,5.513882699648189
1954-05-01,0.13137345119968216,-5.155493028975878,5.812686589072883
1954-06-01,0.1858809055031317,-5.19661617327208,5.742067607034223
1954-07-01,0.20164690695273615,-5.010198354955244,5.481867972510136
1954-08-01,0.23729337100841175,-5.367375250545931,5.300742208653212
1954-09-01,-0.4089363828381255,-5.575546948825494,5.788631718164714
1954-10-01,-0.3160343934211512,-5.834379302740576,5.028760565894177
1954-11-01,-0.2388052362967439,-5.734388177422655,5.519499285385424
1954-12-01,-0.17089348878720761,-5.65167652896249,5.452071217956083
1955-01-01,-0.18480190473568747,-6.36489749347614,5.652100540202446
1955-02-01,-0.24134639803406888,-5.995272758779727,4.8646640530460035
1955-03-01,0.14301710471114187,-4.9846503787894765,5.6475388866446785
1955-04-01,0.06020002538774563,-5.744198477727128,5.955124040175323
1955-05-01,0.08216923353603856,-5.712965766780665,5.68530651248067
1955-06-01,0.17780196642884702,-5.022394900711385,6.221800730133034
1955-07-01,0.23914236419142465,-5.513780741736179,5.2963691021634896
1955-08-01,0.3404708881555588,-5.370776511013896,5.544270867085136
1955-09-01,-0.5214104230060842,-5.994291244447613,5.495528593576984
1955-10-01,-0.3964443236276627,-5.406004204097746,4.985133130089375
1955-11-01,-0.16850762821863913,-5.591270404535115,5.4215649418365714
1955-12-01,0.0016869873247482847,-5.401157090928609,5.452253451234277
1956-01-01,-0.21885653923403492,-5.901333628979392,5.772233191353133
1956-02-01,-0.4587858754106147,-5.952992626338321,4.851072366435575
1956-03-01,-0.31773721117386655,-6.285222190242095,5.503014785128216
1956-04-01,-0.012425091322952414,-5.613607731236378,5.632389716079728
1956-05-01,0.24965532048573616,-5.275258511257398,5.874178682471359
1956-06-01,0.22722433253301924,-5.471521708210234,5.758576439222858
1956-07-01,0.1513297841121512,-5.540883229923831,5.68243494708562
1956-08-01,0.045427883484497666,-5.490527990370854,5.449595848455992
1956-09-01,-0.16881543009035782,-5.46015964352548,5.569653266641387
1956-10-01,-0.12445236999911516,-5.474775342328391,5.711870808215382
1956-11-01,-0.34616227580862663,-5.628047110947589,5.109411687675403
1956-12-01,-0.5000226942324865,-5.869079641387027,4.835821586123324
1957-01-01,-0.11077004796570486,-5.629643553310291,5.467768384691389
1957-02-01,0.21884674358193018,-5.136979961242084,5.665514832070248
1957-03-01,-0.15971513856872996,-5.4906569795946485,5.249092890120279
1957-04-01,0.020955229413469584,-5.912178984063385,5.1190924415936
1957-05-01,0.20182977641291677,-5.470546792647814,6.06905222527153
1957-06-01,0.21697120572558545,-5.3898586980547645,5.545924797987822
1957-07-01,0.18696586775786436,-5.297294632696031,5.42557325717206
1957-08-01,0.1535268516528745,-5.695244594123233,6.237897796887766
1957-09-01,-0.2767493497352714,-5.907256508017665,5.4977343822462785
1957-10-01,-0.21072308243868326,-5.67784581183503,4.973712167893071
